"idComponente";"idServidor";"horario";"valorLido";"unidadeMedida"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:16:24";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:16:19";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:16:14";41.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:16:09";41.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:16:04";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:58";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:53";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:48";38.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:43";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:38";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:33";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:28";38.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:23";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:18";48.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:13";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:08";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:03";38.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:58";38.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:53";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:48";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:43";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:38";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:33";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:28";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:23";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:17";39.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:12";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:07";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:02";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:57";40.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:52";41.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:47";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:42";41.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:37";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:32";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:27";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:22";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:17";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:12";53.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:07";50.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:02";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:57";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:52";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:47";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:42";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:37";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:31";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:26";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:21";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:16";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:11";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:06";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:01";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:56";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:51";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:46";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:41";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:36";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:31";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:26";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:21";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:16";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:11";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:06";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:01";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:55";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:50";46.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:45";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:40";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:35";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:30";46.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:25";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:20";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:15";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:10";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:05";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:00";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:55";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:50";47.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:45";48.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:40";48.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:35";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:29";47.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:24";48.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:19";47.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:14";61.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:09";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:04";46.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:59";47.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:54";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:49";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:44";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:39";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:34";45.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:28";47.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:23";46.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:18";58.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:13";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:08";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:03";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:07:58";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:07:53";42.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:07:48";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:07:43";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:07:38";43.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:07:33";44.0;"°C"
2;"5c:cd:5b:bf:96:a4";"2022-11-08 10:07:28";44.0;"°C"
