"idComponente";"idServidor";"horario";"valorLido";"unidadeMedida"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:16:14";21.4;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:16:09";20.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:16:04";2.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:59";25.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:53";2.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:48";5.1;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:43";14.6;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:38";9.8;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:33";2.6;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:28";5.1;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:23";2.6;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:18";9.8;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:13";5.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:08";56.1;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:15:03";2.6;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:58";7.7;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:53";9.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:48";14.3;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:43";2.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:38";22.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:33";0.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:28";31.7;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:23";9.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:18";5.1;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:13";4.9;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:08";28.2;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:14:02";5.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:57";2.6;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:52";5.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:47";2.6;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:42";7.7;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:37";5.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:32";7.3;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:27";5.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:22";7.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:17";0.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:12";66.7;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:07";28.2;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:13:02";5.1;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:57";2.6;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:52";7.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:47";12.8;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:42";69.2;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:37";10.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:32";22.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:26";2.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:21";2.6;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:16";7.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:11";12.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:06";20.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:12:01";15.4;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:56";51.2;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:51";24.4;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:46";12.2;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:41";7.1;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:36";0.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:31";2.6;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:26";10.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:21";2.6;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:16";10.3;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:11";5.1;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:06";55.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:11:01";24.3;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:56";2.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:50";14.3;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:45";0.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:40";2.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:35";16.7;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:30";32.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:25";25.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:20";5.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:15";5.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:10";5.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:05";17.9;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:10:00";9.8;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:55";4.9;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:50";8.3;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:45";12.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:40";32.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:35";18.4;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:30";17.9;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:24";18.4;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:19";15.8;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:14";87.8;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:09";20.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:09:04";17.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:59";26.3;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:54";50.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:49";20.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:44";27.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:39";22.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:34";43.2;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:29";22.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:23";10.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:18";52.5;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:13";28.2;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:08";15.0;"%"
1;"5c:cd:5b:bf:96:a4";"2022-11-08 10:08:03";34.9;"%"
